lic_cd,lic_nm,co_lic_cd,co_lic_nm,co_cnt
10426,천장크레인운전기능사,23637,위험물안전관리자,59
10348,중식조리기능사,32751,케이크디자이너,59
11028,전산세무2급 (국가공인),24466,DIAT 스프레드시트(고급),59
23637,위험물안전관리자,31901,워드프로세서 단일등급,59
17069,사회복지사2급,39720,초경량비행장치 조종자,59
10133,컴퓨터활용능력2급,36559,건설재료시험기사,59
10132,컴퓨터활용능력1급,17147,태권도 2단,59
10535,금속재료산업기사,21238,전기기능사,59
10873,금융자산관리사(FP),11040,증권투자상담사,59
10178,건축도장기능사,10288,온수온돌기능사,59
10492,컬러리스트산업기사,10976,샵마스터3급,59
10390,한식조리기능사,27706,ITQ Master (파워포인트),59
10370,컴퓨터그래픽스운용기능사,14567,리눅스마스터2급,59
24233,용접기능사,9954,워드프로세서2급,59
17225,부기3급,17275,부기2급,59
10872,국제무역사 1급,25804,정보기술자격(ITQ)한글엑셀 A등급,59
18184,보육교사2급,18677,청소년지도사3급,59
10329,정보기기운용기능사,33754,바리스타2급,59
10178,건축도장기능사,11235,공인중개사,59
27050,피부미용사,9954,워드프로세서2급,59
11014,인터넷정보관리사2급,17266,유통관리사2급,59
17698,중장비운전기능사(굴삭기),28212,특수트레일러면허,59
23320,자동차정비기능사,31909,버스운전자격,59
11028,전산세무2급 (국가공인),31849,무역관리사(ITP),59
17573,주산2급,17796,영문타자2급,59
17201,주산1급,9954,워드프로세서2급,59
9907,간호사,9953,워드프로세서1급,58
10104,전산회계운용사3급,21256,소방안전관리자2급,58
10349,지게차운전기능사,30842,MOS Word 2010 Expert,58
10192,공조냉동기계기능사,27287,한국사능력검정시험 1급,58
10092,자동차보수도장기능사,10483,산업안전산업기사,58
26812,정보기술자격(ITQ) 아래한글 A등급,27154,정보기술자격(ITQ)한글액세스 C등급,58
23035,MCAS Word 2007,23036,MCAS Powerpoint 2007,58
14040,ERP 정보관리사 물류2급,25805,정보기술자격(ITQ)한글파워포인트 A등급,58
10581,산업위생관리기사,9907,간호사,58
10014,무역영어1급,10942,구매자재관리사(KPM),58
10662,전기기사,21080,정보기술자격(ITQ)OA마스터,58
17069,사회복지사2급,23733,레크리에이션 지도자 1급,58
26722,병원코디네이터,31434,치과보험청구사3급,58
24459,MOS Master 2007,26705,MOS Access 2007 Core,58
10133,컴퓨터활용능력2급,26698,CS Leaders 관리사,58
23441,GTQ포토샵2급,32689,회계정보처리(FAT) 1급,58
10663,전기산업기사,24414,가스안전관리자,58
10683,정보처리산업기사,14036,ISTQB foundation level,58
10656,자동차정비산업기사,25283,화물운송종사,58
10311,전기기기기능사,10594,소방설비기사(전기분야),58
10047,세무회계2급(국가공인),32691,세무정보처리(TAT) 1급(국가공인),58
10315,전산응용건축제도기능사,11083,AutoCAD1급 기술자격시험,58
14046,기업회계2급,39468,회계관리1급(국가공인),58
10370,컴퓨터그래픽스운용기능사,10482,사회조사분석사2급,58
18356,제한무선통신사,21256,소방안전관리자2급,58
23440,GTQ포토샵1급,30372,GTQ일러스트 3급,58
10662,전기기사,30844,MOS Excel 2010 Expert,58
10040,설비보전기능사,10535,금속재료산업기사,58
21080,정보기술자격(ITQ)OA마스터,24459,MOS Master 2007,58
10075,위험물기능사(제4류),10349,지게차운전기능사,58
10547,대기환경기사,30652,소방안전관리자1급,58
10133,컴퓨터활용능력2급,17289,신용관리사,58
10660,전기공사산업기사,21118,위험물기능사,58
10315,전산응용건축제도기능사,27707,ITQ Master (엑셀),58
10335,제빵기능사,41102,커피바리스타 1급,58
18433,패션스타일리스트,30370,GTQ일러스트 1급,58
10490,컨벤션기획사2급,27287,한국사능력검정시험 1급,58
10019,배관기능사,23106,에너지관리산업기사,58
32690,세무정보처리(TAT) 2급(국가공인),9908,간호조무사,58
10571,사무자동화산업기사,23441,GTQ포토샵2급,58
14555,회계관리2급(국가공인),21625,정보기술자격(ITQ)인터넷 A등급,58
10547,대기환경기사,30651,소방안전관리자1급,58
11055,평생교육사2급,11235,공인중개사,58
18175,유치원정교사2급,33241,회계정보처리(FAT)1급 (국가공인),58
23423,치과코디네이터,26722,병원코디네이터,58
10682,정보처리기사,21219,컴퓨터응용선반기능사,58
10682,정보처리기사,17342,한자능력검정2급,58
10662,전기기사,26136,전기공사기술자경력수첩(중급),58
10078,위험물기능장,10606,수질환경기사,58
14555,회계관리2급(국가공인),31893,HRM전문가,58
14044,ERP 정보관리사 생산2급,25805,정보기술자격(ITQ)한글파워포인트 A등급,58
10547,대기환경기사,26812,정보기술자격(ITQ) 아래한글 A등급,58
11088,E-TEST Professionals,9953,워드프로세서1급,58
26722,병원코디네이터,36175,미용사(네일),58
11034,전산회계2급 (국가공인),17148,태권도 1단,58
10266,승강기기능사,28969,기중기운전기능사,58
30370,GTQ일러스트 1급,30846,MOS PowerPoint 2010,58
18461,한자실력2급,24459,MOS Master 2007,58
10483,산업안전산업기사,30850,MOS Master 2010,58
17150,태권도 4단,31901,워드프로세서 단일등급,58
24417,애견미용사 3급,26812,정보기술자격(ITQ) 아래한글 A등급,58
10133,컴퓨터활용능력2급,40866,병원코디네이터1급,58
10014,무역영어1급,22011,CS Leaders(관리사),58
10683,정보처리산업기사,11014,인터넷정보관리사2급,58
10322,전자출판기능사,11033,전산회계1급 (국가공인),58
10040,설비보전기능사,23106,에너지관리산업기사,58
10103,전산회계운용사2급,27706,ITQ Master (파워포인트),58
21612,미용사국가기술자격증,25080,메이크업 인증강사,58
21962,정보기술자격(ITQ)한글A등급,24017,정보기술자격(ITQ)한글엑셀 B등급,58
23170,간병사,9908,간호조무사,58
10683,정보처리산업기사,41733,전자기능사,58
10133,컴퓨터활용능력2급,11413,피부관리사,58
24665,심리상담사1급,33339,미술심리상담사 1급,58
10571,사무자동화산업기사,39468,회계관리1급(국가공인),58
10645,일반기계기사,21238,전기기능사,58
17228,바리스타2급,30844,MOS Excel 2010 Expert,58
10955,문서실무사2급,11033,전산회계1급 (국가공인),58
11033,전산회계1급 (국가공인),18686,제3보험대리점,58
10079,위험물산업기사,9926,물류관리사,58
10433,가스기능장,10593,소방설비기사(기계분야),58
10330,정보처리기능사,9958,위생사,58
17069,사회복지사2급,36902,아동심리상담사1급,58
10233,방사선비파괴검사기능사,10579,산업안전기사,58
10322,전자출판기능사,11034,전산회계2급 (국가공인),58
30846,MOS PowerPoint 2010,34301,Adobe Premiere Pro CS6,58
11377,전산세무회계2급 (국가공인),35862,재경관리사 (국가공인),58
10579,산업안전기사,33852,ISO14001 국제심사원보,58
10330,정보처리기능사,32485,GAIQ(Google Analytics Individual Qualification),58
10030,산림기사,10094,자연생태복원기사,58
10335,제빵기능사,33409,그래픽기술자격(GTQ) 1급,58
10134,컴퓨터활용능력3급,23441,GTQ포토샵2급,58
11014,인터넷정보관리사2급,23440,GTQ포토샵1급,58
10338,조경기능사,10483,산업안전산업기사,58
10133,컴퓨터활용능력2급,23607,손해보험대리점자격증,58
10133,컴퓨터활용능력2급,36425,ACU(Autodesk Certified User),58
26722,병원코디네이터,27706,ITQ Master (파워포인트),58
23368,BLS PROVIDER,34178,병원사무관리사,58
11028,전산세무2급 (국가공인),17756,3톤미만지게차,58
17299,정보기술자격(ITQ) 한글엑셀,23368,BLS PROVIDER,58
10132,컴퓨터활용능력1급,9960,의무기록사,58
24466,DIAT 스프레드시트(고급),32713,DIAT 정보통신상식(고급),58
21078,요양보호사1급,35437,병원코디네이터1급,58
32988,ISO9001국제심사원보,33575,6시그마 GB,58
10133,컴퓨터활용능력2급,27099,ERP물류정보관리사,58
17299,정보기술자격(ITQ) 한글엑셀,40907,병원코디네이터 1급,58
10262,수치제어밀링기능사,9953,워드프로세서1급,58
27290,한국사능력검정시험 4급,9953,워드프로세서1급,58
14037,MOS Master,18607,상공회의소 한자 중급3급,58
25283,화물운송종사,27046,건설기계조종사면허증(3톤미만굴착기),58
10593,소방설비기사(기계분야),25014,굴착기운전기능사,58
10397,화학분석기능사,10525,공조냉동기계산업기사,58
10682,정보처리기사,11159,SCNA(Sun Certified Network Administrator),58
26812,정보기술자격(ITQ) 아래한글 A등급,41103,커피바리스타 2급,58
10616,식품기사,17228,바리스타2급,58
10133,컴퓨터활용능력2급,21717,AUTO CAD LT,58
17145,국외여행인솔자,26812,정보기술자격(ITQ) 아래한글 A등급,58
32689,회계정보처리(FAT) 1급,32691,세무정보처리(TAT) 1급(국가공인),58
24459,MOS Master 2007,25804,정보기술자격(ITQ)한글엑셀 A등급,58
17299,정보기술자격(ITQ) 한글엑셀,21157,정보기술자격(ITQ)인터넷 B등급,58
10079,위험물산업기사,25283,화물운송종사,58
10235,방수기능사,17631,토목초급기술자,58
10025,비서3급,33241,회계정보처리(FAT)1급 (국가공인),58
10872,국제무역사 1급,11235,공인중개사,58
17120,합기도 1단,17150,태권도 4단,58
10132,컴퓨터활용능력1급,26538,파생상품투자상담사,58
40778,반려동물관리사,40783,반려동물식품관리사,58
10544,누설비파괴검사기사,10631,와전류비파괴검사기사,58
26812,정보기술자격(ITQ) 아래한글 A등급,9946,안경사,58
14548,요양보호사,9962,임상병리사,58
24713,정보기술자격(ITQ)한글액세스 A등급,33409,그래픽기술자격(GTQ) 1급,58
10399,환경기능사,23320,자동차정비기능사,58
17093,SAS Certified Base Programmer,28267,SQL개발자(SQLD자격),58
10132,컴퓨터활용능력1급,14046,기업회계2급,58
10683,정보처리산업기사,23775,무선설비기능사,58
10370,컴퓨터그래픽스운용기능사,11083,AutoCAD1급 기술자격시험,58
25805,정보기술자격(ITQ)한글파워포인트 A등급,34230,KALS-Provider,58
17268,미용사(일반),17299,정보기술자격(ITQ) 한글엑셀,58
10016,무역영어3급,10132,컴퓨터활용능력1급,58
10548,대기환경산업기사,10734,폐기물처리기사,58
11176,CISA(국제공인정보시스템감사사),33683,CISSP(국제공인정보시스템보안전문가),58
17266,유통관리사2급,25513,MOS Excel 2003 Expert,58
10320,전자기기기능사,17147,태권도 2단,58
24434,교통안전관리자,25283,화물운송종사,58
10191,공유압기능사,17756,3톤미만지게차,58
10329,정보기기운용기능사,26894,PC Master(정비사),58
17698,중장비운전기능사(굴삭기),9954,워드프로세서2급,58
10316,전산응용기계제도기능사,29593,건설기계조종사면허증(3톤이상지게차),58
31844,ISO 9001 내부심사원,33575,6시그마 GB,58
17069,사회복지사2급,30370,GTQ일러스트 1급,58
10103,전산회계운용사2급,23441,GTQ포토샵2급,58
10249,산림기능사,25014,굴착기운전기능사,58
10502,건설안전기사,26812,정보기술자격(ITQ) 아래한글 A등급,58
27287,한국사능력검정시험 1급,9974,철도교통 안전관리자,57
10078,위험물기능장,9953,워드프로세서1급,57
31901,워드프로세서 단일등급,39720,초경량비행장치 조종자,57
10132,컴퓨터활용능력1급,33805,증권투자상담사,57
33339,미술심리상담사 1급,33723,사회복지사2급,57
11427,회계관리1급(국가공인),32690,세무정보처리(TAT) 2급(국가공인),57
10133,컴퓨터활용능력2급,10487,직업상담사1급,57
14548,요양보호사,36175,미용사(네일),57
11033,전산회계1급 (국가공인),14567,리눅스마스터2급,57
10344,주조기능사,10349,지게차운전기능사,57
11427,회계관리1급(국가공인),33238,세무정보처리(TAT)2급 (국가공인),57
10951,디지털정보활용능력(DIAT),23441,GTQ포토샵2급,57
10133,컴퓨터활용능력2급,39610,노인스포츠지도사,57
27241,토목측량기능사,9953,워드프로세서1급,57
11398,치과위생사,30134,BLS Instructor,57
10330,정보처리기능사,21157,정보기술자격(ITQ)인터넷 B등급,57
35437,병원코디네이터1급,9955,워드프로세서3급,57
31909,버스운전자격,35578,1종 대형 특수트레일러,57
27194,ERP 회계 정보관리사 2급 (국가공인),36068,SMAT(서비스경영자격),57
10509,건축설비기사,10510,건축설비산업기사,57
10502,건설안전기사,10505,건설재료시험산업기사,57
14039,ERP 정보관리사 회계2급,30850,MOS Master 2010,57
17150,태권도 4단,17253,정보기술자격(ITQ) 한글파워포인트,57
17147,태권도 2단,24798,한국실용글쓰기 3급,57
10496,가스산업기사,10571,사무자동화산업기사,57
10954,문서실무사1급,26813,정보기술자격(ITQ) 아래한글 B등급,57
23346,정보기술자격(ITQ)한글파워포인트 B등급,27289,한국사능력검정시험 3급,57
21238,전기기능사,41553,기계설비유지관리자 초급,57
17556,중등학교2급정교사(체육교육),27289,한국사능력검정시험 3급,57
10329,정보기기운용기능사,14032,병원코디네이터,57
10338,조경기능사,21565,로더운전기능사,57
10949,네트워크관리사2급,23726,정보통신기술자경력수첩(고급),57
10349,지게차운전기능사,36562,2급생활스포츠지도사[보디빌딩],57
10582,산업위생관리산업기사,35861,간호사,57
10571,사무자동화산업기사,24713,정보기술자격(ITQ)한글액세스 A등급,57
21101,파생상품펀드투자상담사,26538,파생상품투자상담사,57
10392,항공기체정비기능사,10483,산업안전산업기사,57
10172,가스용접기능사,23705,전기용접기능사,57
10320,전자기기기능사,10656,자동차정비산업기사,57
10177,건설재료시험기능사,10727,토목산업기사,57
25804,정보기술자격(ITQ)한글엑셀 A등급,27500,ERP 인사 정보관리사 3급,57
10340,조주기능사,41114,와인소믈리에 2급,57
10171,가스기능사,27288,한국사능력검정시험 2급,57
10370,컴퓨터그래픽스운용기능사,17756,3톤미만지게차,57
9953,워드프로세서1급,9976,택시운전자격,57
10329,정보기기운용기능사,35862,재경관리사 (국가공인),57
10571,사무자동화산업기사,10684,정보통신기사,57
10954,문서실무사1급,17288,인터넷정보검색사2급,57
27107,매경 TEST 우수(600점 ~ 800점 미만),27499,ERP 인사 정보관리사 2급(국가공인),57
23038,정보기술자격(ITQ)파워포인트 A등급,27288,한국사능력검정시험 2급,57
14548,요양보호사,41732,병원동행매니저,57
10683,정보처리산업기사,11261,리눅스마스터1급,57
17275,부기2급,26812,정보기술자격(ITQ) 아래한글 A등급,57
10682,정보처리기사,26900,일본어능력시험(JLPT) N1,57
10092,자동차보수도장기능사,10178,건축도장기능사,57
25450,병원코디네이터,27705,ITQ Master (한글),57
18433,패션스타일리스트,26812,정보기술자격(ITQ) 아래한글 A등급,57
10051,소방시설관리사,10593,소방설비기사(기계분야),57
11033,전산회계1급 (국가공인),17148,태권도 1단,57
17245,보험심사평가사2급,36068,SMAT(서비스경영자격),57
17253,정보기술자격(ITQ) 한글파워포인트,41603,ERP회계정보관리사2급,57
32692,커피지도사2급,35786,SCAE BARISTA INTERMEDIATE,57
23041,정보기술자격(ITQ)엑셀A등급,33238,세무정보처리(TAT)2급 (국가공인),57
30370,GTQ일러스트 1급,36207,GTQ인디자인 2급,57
21078,요양보호사1급,25283,화물운송종사,57
14574,MOS Word Expert,23440,GTQ포토샵1급,57
22011,CS Leaders(관리사),25450,병원코디네이터,57
10663,전기산업기사,27289,한국사능력검정시험 3급,57
10682,정보처리기사,21759,컴퓨터응용밀링기능사,57
10177,건설재료시험기능사,10483,산업안전산업기사,57
10407,생산자동화기능사,25202,건설기계조종사면허증(3톤미만지게차),57
10467,가스사용시설안전관리자,25014,굴착기운전기능사,57
18037,중등학교2급정교사(영어),21249,TESOL Certificate,57
10133,컴퓨터활용능력2급,10557,무선설비산업기사,57
17220,정보기술자격(ITQ) 아래한글,26722,병원코디네이터,57
10495,가스기사,21238,전기기능사,57
10191,공유압기능사,40727,3D프린터운용기능사,57
10024,비서2급,10132,컴퓨터활용능력1급,57
23441,GTQ포토샵2급,24713,정보기술자격(ITQ)한글액세스 A등급,57
10323,전자캐드기능사,10662,전기기사,57
10488,직업상담사2급,9915,공인노무사,57
26812,정보기술자격(ITQ) 아래한글 A등급,33808,ICDL Module 3,57
25804,정보기술자격(ITQ)한글엑셀 A등급,39484,MOS PowerPoint 2016,57
27288,한국사능력검정시험 2급,31893,HRM전문가,57
10881,병원행정사,17566,의료정보관리사2급,57
10330,정보처리기능사,36175,미용사(네일),57
25805,정보기술자격(ITQ)한글파워포인트 A등급,39877,병원원무행정사1급,57
23041,정보기술자격(ITQ)엑셀A등급,32690,세무정보처리(TAT) 2급(국가공인),57
17106,항공무선통신사,9951,운항관리사,57
10376,통신선로기능사,14567,리눅스마스터2급,57
11033,전산회계1급 (국가공인),31327,국외여행인솔자,57
11450,CPR (심폐소생술),26722,병원코디네이터,57
17698,중장비운전기능사(굴삭기),24233,용접기능사,57
10147,품질경영기사,11084,AutoCAD2급 기술자격시험,57
17246,피부미용관리사,9908,간호조무사,57
11133,FRM(재무위험관리사),25629,투자자산운용사,57
17070,6시그마 GB,28331,ICDL Start certification,57
11083,AutoCAD1급 기술자격시험,25805,정보기술자격(ITQ)한글파워포인트 A등급,57
10304,자기비파괴검사기능사,10336,제선기능사,57
10467,가스사용시설안전관리자,10659,전기공사기사,57
10349,지게차운전기능사,26984,MOS Master 2003,57
14555,회계관리2급(국가공인),9955,워드프로세서3급,57
17756,3톤미만지게차,27288,한국사능력검정시험 2급,57
10179,건축목공기능사,10273,실내건축기능사,57
26919,건강보험심사평가사2급,9908,간호조무사,57
18399,위험물운송자,31909,버스운전자격,57
10019,배관기능사,10483,산업안전산업기사,57
10726,토목기사,14037,MOS Master,57
10315,전산응용건축제도기능사,33241,회계정보처리(FAT)1급 (국가공인),57
10378,특수용접기능사,10656,자동차정비산업기사,57
17674,CATIA V5 Part Design Specialist,36454,CATIA V5 Associate - Part Design,57
17069,사회복지사2급,27097,ERP생산정보관리사 2급,57
25603,MOS PowerPoint 2007,31901,워드프로세서 단일등급,57
17266,유통관리사2급,30652,소방안전관리자1급,57
32307,API 510 - Pressure Vessel Inspector,32308,API 570 - Piping Inspector,57
17253,정보기술자격(ITQ) 한글파워포인트,17267,유통관리사3급,57
10316,전산응용기계제도기능사,23705,전기용접기능사,57
17269,미용사(피부),18600,발관리사,57
10320,전자기기기능사,18556,ITQ 마스터,57
10033,산업안전지도사,10502,건설안전기사,57
10399,환경기능사,14037,MOS Master,57
11239,교원자격증,33723,사회복지사2급,57
10547,대기환경기사,30850,MOS Master 2010,57
25804,정보기술자격(ITQ)한글엑셀 A등급,39720,초경량비행장치 조종자,57
10092,자동차보수도장기능사,39437,건설기계정비기능사,57
10597,소방설비산업기사(전기분야),23320,자동차정비기능사,57
11427,회계관리1급(국가공인),9954,워드프로세서2급,57
40778,반려동물관리사,40779,반려동물장례코디네이터,57
10302,일식조리기능사,9954,워드프로세서2급,57
10495,가스기사,21118,위험물기능사,57
14548,요양보호사,39401,노인심리상담사,57
11083,AutoCAD1급 기술자격시험,32473,Inventor 기술자격 1급,57
17228,바리스타2급,25014,굴착기운전기능사,57
10134,컴퓨터활용능력3급,27499,ERP 인사 정보관리사 2급(국가공인),57
10901,재경관리사,14555,회계관리2급(국가공인),57
10544,누설비파괴검사기사,10714,초음파비파괴검사기사,57
23655,위생사면허증,25805,정보기술자격(ITQ)한글파워포인트 A등급,57
17519,설비보전기사,21118,위험물기능사,57
17275,부기2급,33723,사회복지사2급,57
17228,바리스타2급,27289,한국사능력검정시험 3급,57
25281,IFRS 관리사,33241,회계정보처리(FAT)1급 (국가공인),57
21565,로더운전기능사,29593,건설기계조종사면허증(3톤이상지게차),57
17228,바리스타2급,36854,미용사(메이크업),57
27193,ERP 회계 정보관리사 2급 (국가공인),39468,회계관리1급(국가공인),57
25805,정보기술자격(ITQ)한글파워포인트 A등급,33522,디지털정보활용능력(DIAT)고급,57
10571,사무자동화산업기사,33805,증권투자상담사,57
10330,정보처리기능사,25629,투자자산운용사,57
10509,건축설비기사,23234,에너지관리기사,57
10081,유기농업기능사,10133,컴퓨터활용능력2급,57
10192,공조냉동기계기능사,10570,보일러산업기사,57
17681,풍선아트3급,18184,보육교사2급,57
17147,태권도 2단,17148,태권도 1단,57
11033,전산회계1급 (국가공인),26901,일본어능력시험(JLPT) N2,57
10132,컴퓨터활용능력1급,35415,국가공인자격한자 2급,57
10563,방사선비파괴검사기사,10631,와전류비파괴검사기사,57
30844,MOS Excel 2010 Expert,33240,회계정보처리(FAT)2급 (국가공인),57
21625,정보기술자격(ITQ)인터넷 A등급,28380,ERP 물류정보관리사 2급,57
25281,IFRS 관리사,27287,한국사능력검정시험 1급,57
10147,품질경영기사,27097,ERP생산정보관리사 2급,57
10593,소방설비기사(기계분야),9954,워드프로세서2급,57
10538,기계설계산업기사,25014,굴착기운전기능사,57
10079,위험물산업기사,30337,ISO9001 인증심사원보,57
25145,커피바리스타,26812,정보기술자격(ITQ) 아래한글 A등급,57
29682,한국실용글쓰기 준2급,35054,데이터분석준전문가(ADsP),57
17101,한자급수자격검정2급,26894,PC Master(정비사),57
21280,상공회의소 한자 중급4급,9954,워드프로세서2급,57
11376,전산세무회계1급 (국가공인),33241,회계정보처리(FAT)1급 (국가공인),57
18736,(일반)경비원신임교육이수증,9954,워드프로세서2급,57
10596,소방설비산업기사(기계분야),10662,전기기사,57
10017,물리치료사,10088,인간공학기사,57
10943,국내여행안내사,35198,토파스(TOPAS) 항공예약,57
10047,세무회계2급(국가공인),10329,정보기기운용기능사,57
10060,스포츠경영관리사,39740,생활스포츠지도사(2급),57
10330,정보처리기능사,27856,정보운용기기기능사,57
17267,유통관리사3급,23440,GTQ포토샵1급,57
10682,정보처리기사,10920,AFPK(공인재무설계사),57
23441,GTQ포토샵2급,39874,CAD실무능력평가2급,57
10502,건설안전기사,11034,전산회계2급 (국가공인),57
14047,기업회계3급,23441,GTQ포토샵2급,57
10955,문서실무사2급,11034,전산회계2급 (국가공인),57
10030,산림기사,10338,조경기능사,57
10273,실내건축기능사,25805,정보기술자격(ITQ)한글파워포인트 A등급,57
10349,지게차운전기능사,18553,전기용접기능사2급,57
28331,ICDL Start certification,31901,워드프로세서 단일등급,57
10645,일반기계기사,21759,컴퓨터응용밀링기능사,57
10133,컴퓨터활용능력2급,24146,ACLS provider,57
10368,침투비파괴검사기능사,21118,위험물기능사,57
10683,정보처리산업기사,23726,정보통신기술자경력수첩(고급),57
10579,산업안전기사,17148,태권도 1단,57
10104,전산회계운용사3급,17245,보험심사평가사2급,57
27194,ERP 회계 정보관리사 2급 (국가공인),27288,한국사능력검정시험 2급,57
17565,의료정보관리사,36016,건강보험사,57
10682,정보처리기사,26985,MOS Master 2003,56
10943,국내여행안내사,27287,한국사능력검정시험 1급,56
17756,3톤미만지게차,24459,MOS Master 2007,56
39408,병원코디네이터,9953,워드프로세서1급,56
10320,전자기기기능사,18356,제한무선통신사,56
10548,대기환경산업기사,10626,에너지관리기능사,56
33339,미술심리상담사 1급,36897,심리상담사1급,56
10619,실내건축기사,9953,워드프로세서1급,56
11450,CPR (심폐소생술),35861,간호사,56
10171,가스기능사,10368,침투비파괴검사기능사,56
10027,사회복지사1급,25804,정보기술자격(ITQ)한글엑셀 A등급,56
17101,한자급수자격검정2급,26812,정보기술자격(ITQ) 아래한글 A등급,56
21713,외환전문역2종,27287,한국사능력검정시험 1급,56
11083,AutoCAD1급 기술자격시험,23440,GTQ포토샵1급,56
21625,정보기술자격(ITQ)인터넷 A등급,33723,사회복지사2급,56
11084,AutoCAD2급 기술자격시험,25202,건설기계조종사면허증(3톤미만지게차),56
10335,제빵기능사,10488,직업상담사2급,56
27097,ERP생산정보관리사 2급,9908,간호조무사,56
41068,GCS바리스타 LV2,41070,GCS브루잉 LV1,56
17148,태권도 1단,17266,유통관리사2급,56
18059,주얼리마스터2급,18489,주얼리코디네이터3급,56
26812,정보기술자격(ITQ) 아래한글 A등급,33315,ICDL Module 4,56
10178,건축도장기능사,10371,콘크리트기능사,56
17228,바리스타2급,32510,병원코디네이터 1급,56
10659,전기공사기사,14037,MOS Master,56
10509,건축설비기사,30651,소방안전관리자1급,56
10502,건설안전기사,23440,GTQ포토샵1급,56
14047,기업회계3급,27288,한국사능력검정시험 2급,56
11427,회계관리1급(국가공인),17266,유통관리사2급,56
17161,중등학교2급정교사(교육학),17767,중등학교2급정교사(국어),56
10209,중장비운전기능사(기중기),17698,중장비운전기능사(굴삭기),56
10329,정보기기운용기능사,9962,임상병리사,56
17253,정보기술자격(ITQ) 한글파워포인트,18175,유치원정교사2급,56
14037,MOS Master,36016,건강보험사,56
14047,기업회계3급,24459,MOS Master 2007,56
10611,시각디자인산업기사,9953,워드프로세서1급,56
17245,보험심사평가사2급,24212,의료서비스코디네이터,56
11084,AutoCAD2급 기술자격시험,27707,ITQ Master (엑셀),56
11014,인터넷정보관리사2급,11028,전산세무2급 (국가공인),56
10333,제과기능사,23441,GTQ포토샵2급,56
17299,정보기술자격(ITQ) 한글엑셀,30388,커피바리스타 2급,56
10390,한식조리기능사,23441,GTQ포토샵2급,56
14037,MOS Master,33240,회계정보처리(FAT)2급 (국가공인),56
25366,고객관리지도사 1급,26041,스피치지도자2급,56
10016,무역영어3급,27194,ERP 회계 정보관리사 2급 (국가공인),56
10024,비서2급,10571,사무자동화산업기사,56
10349,지게차운전기능사,31095,품질관리담당자(제품),56
10467,가스사용시설안전관리자,25283,화물운송종사,56
10508,건축산업기사,9953,워드프로세서1급,56
18184,보육교사2급,21566,병원서비스코디네이터,56
26812,정보기술자격(ITQ) 아래한글 A등급,9960,의무기록사,56
10335,제빵기능사,27801,실기교사(조리)교원자격증,56
11034,전산회계2급 (국가공인),25605,MOS Excel 2007,56
21086,파워포인트1급,9953,워드프로세서1급,56
10171,가스기능사,17168,방화관리자2급,56
18736,(일반)경비원신임교육이수증,30651,소방안전관리자1급,56
17228,바리스타2급,18175,유치원정교사2급,56
10954,문서실무사1급,33409,그래픽기술자격(GTQ) 1급,56
17069,사회복지사2급,23586,케어사회복지사,56
32485,GAIQ(Google Analytics Individual Qualification),32802,ACA Photoshop CS6,56
14548,요양보호사,23038,정보기술자격(ITQ)파워포인트 A등급,56
23440,GTQ포토샵1급,41097,ACA Photoshop CC 2015,56
17170,손해보험설계사,9908,간호조무사,56
10467,가스사용시설안전관리자,21118,위험물기능사,56
11028,전산세무2급 (국가공인),18607,상공회의소 한자 중급3급,56
26220,원산지관리사,33851,수입관리사,56
23320,자동차정비기능사,26813,정보기술자격(ITQ) 아래한글 B등급,56
10549,도시계획기사,23184,건축기사,56
10571,사무자동화산업기사,21759,컴퓨터응용밀링기능사,56
10390,한식조리기능사,10397,화학분석기능사,56
14037,MOS Master,27707,ITQ Master (엑셀),56
17345,유도1단,9954,워드프로세서2급,56
10495,가스기사,10645,일반기계기사,56
10349,지게차운전기능사,27089,정보기술자격(ITQ)한글엑셀 C등급,56
17279,중등교원자격,27287,한국사능력검정시험 1급,56
26813,정보기술자격(ITQ) 아래한글 B등급,27289,한국사능력검정시험 3급,56
23440,GTQ포토샵1급,32688,회계정보처리(FAT) 2급,56
11027,전산세무1급 (국가공인),26983,ERP 물류정보관리사 1급,56
25603,MOS PowerPoint 2007,27288,한국사능력검정시험 2급,56
17267,유통관리사3급,27193,ERP 회계 정보관리사 2급 (국가공인),56
34178,병원사무관리사,9908,간호조무사,56
10548,대기환경산업기사,21256,소방안전관리자2급,56
21256,소방안전관리자2급,26813,정보기술자격(ITQ) 아래한글 B등급,56
10316,전산응용기계제도기능사,27707,ITQ Master (엑셀),56
18499,중등학교2급정교사,9954,워드프로세서2급,56
32779,ICDL Module 2,33315,ICDL Module 4,56
17463,정보기술자격(ITQ) 한글액세스,27707,ITQ Master (엑셀),56
10662,전기기사,21759,컴퓨터응용밀링기능사,56
10329,정보기기운용기능사,10525,공조냉동기계산업기사,56
17069,사회복지사2급,21856,ITQ정보기술자격 (국가공인),56
10079,위험물산업기사,10509,건축설비기사,56
10103,전산회계운용사2급,27707,ITQ Master (엑셀),56
14320,은행텔러,25804,정보기술자격(ITQ)한글엑셀 A등급,56
23440,GTQ포토샵1급,30725,바리스타1급,56
11055,평생교육사2급,9955,워드프로세서3급,56
30725,바리스타1급,9953,워드프로세서1급,56
11034,전산회계2급 (국가공인),17147,태권도 2단,56
10335,제빵기능사,23441,GTQ포토샵2급,56
17220,정보기술자격(ITQ) 아래한글,27288,한국사능력검정시험 2급,56
